name,country,lat,lng
Tokyo,Japan,35.684486,139.750214
Los Angeles,United States,34.053168,-118.246276
Seoul,"Korea, South",37.553068,126.976954
Guangzhou,China,23.116378,113.249408
Shanghai,China,31.232853,121.477607
Mexico City,Mexico,19.4333,-99.1333
London,United Kingdom,51.5072,-0.1275
Jakarta,Indonesia,-6.175,106.8275
Delhi,India,28.659863,77.222316
Moscow,Russia,55.7558,37.6172
Beijing,China,39.906525,116.391219
Paris,France,48.856037,2.346195
Istanbul,Turkey,41.015148,28.969408
Chicago,United States,41.881675,-87.637385
Singapore,Singapore,1.290115, 103.841522
Mumbai,India,18.973256,72.828608
Ōsaka,Japan,34.689669,135.503755
Hong Kong,Hong Kong,22.297448,114.173841
New York,United States,40.723449,-73.992018
Buenos Aires,Argentina,-34.6033,-58.3817
Manila,Philippines,14.5958,120.9772
Bangkok,Thailand,13.7525,100.4942
Shenzhen,China,22.5415,114.0596
Chongqing,China,29.5637,106.5504
Chengdu,China,30.66,104.0633
Cairo,Egypt,30.0444,31.2358
Philadelphia,United States,39.952257,-75.163570
Miami,United States,25.773867,-80.196715
Ho Chi Minh City,Vietnam,10.7756,106.7019
Kolkāta,India,22.5675,88.37
Houston,United States,29.759823,-95.363192
Rio de Janeiro,Brazil,-22.9111,-43.2056
Atlanta,United States,33.755518,-84.390475
Toronto,Canada,43.645122,-79.383661
Dallas,United States,32.778707, -96.797841
Brooklyn,United States,40.687100,-73.979519
Xi’an,China,34.2611,108.9422
Riyadh,Saudi Arabia,24.6333,46.7167
Tehran,Iran,35.6892,51.3889
Dhaka,Bangladesh,23.7639,90.3889
Lima,Peru,-12.06,-77.0375
Melbourne,Australia,-37.8142,144.9631
Boston,United States,42.360960,-71.060025
Nagoya,Japan,35.1833,136.9
Berlin,Germany,52.52,13.405
Sydney,Australia,-33.8678,151.21
Kuala Lumpur,Malaysia,3.1478,101.6953
Madrid,Spain,40.4169,-3.7033
Wuhan,China,30.5934,114.3046
Hangzhou,China,30.267,120.153
Tianjin,China,39.1336,117.2054
Barcelona,Spain,41.3828,2.1769
Seattle,United States,47.605314,-122.334631
Chennai,India,13.0825,80.275
Karachi,Pakistan,24.859216,67.002758
San Francisco,United States,37.788351,-122.404298
Lagos,Nigeria,6.455,3.3841
Detroit,United States,42.335503,-83.049708
Nanjing,China,32.0608,118.7789
Dubai,United Arab Emirates,25.2631,55.2972
